"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Nerodia clarkii taeniata","Atlantic salt marsh snake","Wherever found","4","Threatened","Reptiles"
"Drosophila differens","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Fusconaia cuneolus","Finerayed pigtoe","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Ammodramus savannarum floridanus","Florida grasshopper sparrow","Wherever found","4","Endangered","Birds"
"Corvus leucognaphalus","White-necked crow","Wherever found","4","Endangered","Birds"
"Xyrauchen texanus","Razorback sucker","Wherever found","6","Endangered","Fishes"
"Sorex ornatus relictus","Buena Vista Lake ornate Shrew","Wherever found","8","Endangered","Mammals"
"Corvus hawaiiensis","Hawaiian crow","Wherever found","1","Endangered","Birds"
"Medionidus acutissimus","Alabama moccasinshell","Wherever found","4","Threatened","Clams"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Fusconaia masoni","Atlantic pigtoe","Wherever found","4","Threatened","Clams"
"Pleurocera foremani","Rough hornsnail","Wherever found","4","Endangered","Snails"
"Eucyclogobius newberryi","Tidewater goby","Wherever found","8","Endangered","Fishes"
"Pyrgulopsis roswellensis","Roswell springsnail","Wherever found","2","Endangered","Snails"
"Gila nigrescens","Chihuahua chub","Wherever found","2","Threatened","Fishes"
"Chasmistes brevirostris","Shortnose Sucker","Wherever found","8","Endangered","Fishes"
"Palmeria dolei","`Akohekohe (crested honeycreeper)","Wherever found","1","Endangered","Birds"
"Cryptobranchus alleganiensis bishopi","Ozark Hellbender","Wherever found","3","Endangered","Amphibians"
"Glaucidium brasilianum cactorum","Cactus ferruginous pygmy-owl","Wherever found","2","Threatened","Birds"
"Noturus placidus","Neosho madtom","Wherever found","6","Threatened","Fishes"
"Cyprinodon diabolis","Devils Hole pupfish","Wherever found","8","Endangered","Fishes"
"Partulina semicarinata","Lanai tree snail","Wherever found","1","Endangered","Snails"
"Crotalus willardi obscurus","New Mexican ridge-nosed rattlesnake","Wherever found","2","Threatened","Reptiles"
"Speyeria zerene hippolyta","Oregon silverspot butterfly","Wherever found","1","Threatened","Insects"
"Eleutherodactylus cooki","Guajon","Wherever found","4","Threatened","Amphibians"
"Euphilotes battoides allyni","El Segundo blue butterfly","Wherever found","8","Endangered","Insects"
"Catostomus discobolus yarrowi","Zuni bluehead Sucker","Wherever found","2","Endangered","Fishes"
"Dromus dromas","Dromedary pearlymussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Speyeria nokomis nokomis","Silverspot","Wherever found","6","Threatened","Insects"
"Notropis albizonatus","Palezone shiner","Wherever found","4","Endangered","Fishes"
"Lampsilis powellii","Arkansas fatmucket","Wherever found","4","Threatened","Clams"
"Cyprogenia aberti","Western fanshell","Wherever found","3","Threatened","Clams"
"Cicindelidia floridana","Miami tiger beetle","Wherever found","4","Endangered","Insects"
"Cyprinodon nevadensis mionectes","Ash Meadows Amargosa pupfish","Wherever found","8","Endangered","Fishes"
"Eurycea rathbuni","Texas blind salamander","Wherever found","2","Endangered","Amphibians"
"Speyeria zerene hippolyta","Oregon silverspot butterfly","","1","Experimental Population, Non-Essential","Insects"
"Rhinichthys osculus lethoporus","Independence Valley speckled dace","Wherever found","8","Endangered","Fishes"
"Villosa trabalis","Cumberland bean (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Aplodontia rufa nigra","Point Arena mountain beaver","Wherever found","8","Endangered","Mammals"
"Lampsilis streckeri","Speckled pocketbook","Wherever found","4","Endangered","Clams"
"Palaemonetes cummingi","Squirrel Chimney Cave shrimp","Wherever found","4","Threatened","Crustaceans"
"Leptoxis plicata","Plicate rocksnail","Wherever found","4","Endangered","Snails"
"Erimonax monachus","Spotfin Chub","Wherever found, except where listed as an experimental population","4","Threatened","Fishes"
"Ischnura luta","Rota blue damselfly","Wherever found","1","Endangered","Insects"
"Percina rex","Roanoke logperch","Wherever found","5","Endangered","Fishes"
"Anaxyrus canorus","Yosemite toad","Wherever found","8","Threatened","Amphibians"
"Cicurina vespera","Government Canyon Bat Cave meshweaver","Wherever found","2","Endangered","Arachnids"
"Noturus flavipinnis","Yellowfin madtom","Wherever found, except where listed as an experimental population","4","Threatened","Fishes"
"Pacifastacus fortis","Shasta crayfish","Wherever found","8","Endangered","Crustaceans"
"Cyclonaias necki","Guadalupe Orb","","2","Endangered","Clams"
"Gymnogyps californianus","California condor","Wherever found, except where listed as an experimental population","8","Endangered","Birds"
"Emballonura semicaudata rotensis","Pacific sheath-tailed Bat","Wherever found","1","Endangered","Mammals"
"Tiaroga cobitis","Loach minnow","Wherever found","2","Endangered","Fishes"
"Lepidochelys olivacea","Olive ridley sea turtle","Wherever found, except when listed as endangered under 50 CFR 224.101","1","Threatened","Reptiles"
"Drosophila hemipeza","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Cyprogenia stegaria","Fanshell","Wherever found","4","Endangered","Clams"
"Gopherus agassizii","Desert tortoise","Wherever found, except AZ south and east of Colorado R., and Mexico","8","Threatened","Reptiles"
"Anaea troglodyta floridalis","Florida leafwing Butterfly","Wherever found","4","Endangered","Insects"
"Rana muscosa","Mountain yellow-legged frog","Northern California DPS","8","Endangered","Amphibians"
"Anaxyrus baxteri","Wyoming Toad","Wherever found","6","Endangered","Amphibians"
"Texella reddelli","Bee Creek Cave harvestman","Wherever found","2","Endangered","Arachnids"
"Hemignathus wilsoni","akiapolaau","Wherever found","1","Endangered","Birds"
"Noturus stanauli","Pygmy madtom","Wherever found","4","Endangered","Fishes"
"Antilocapra americana sonoriensis","Sonoran pronghorn","Wherever found, except where listed as an experimental population","2","Endangered","Mammals"
"Chelonia mydas","Green sea turtle","North Atlantic DPS","4","Threatened","Reptiles"
"Pseudotryonia adamantina","Diamond Tryonia","Wherever found","2","Endangered","Snails"
"Parvaspina steinstansana","Tar River spinymussel","Wherever found","4","Endangered","Clams"
"Scaphirhynchus albus","Pallid sturgeon","Wherever found","6","Endangered","Fishes"
"Thomomys mazama tumuli","Tenino pocket gopher","Wherever found","1","Threatened","Mammals"
"Etheostoma spilotum","Kentucky arrow darter","Wherever found","4","Threatened","Fishes"
"Sylvilagus bachmani riparius","Riparian brush rabbit","Wherever found","8","Endangered","Mammals"
"Leptodea leptodon","Scaleshell mussel","Wherever found","3","Endangered","Clams"
"Medionidus walkeri","Suwannee moccasinshell","Wherever found","4","Threatened","Clams"
"Gopherus flavomarginatus","Bolson tortoise","Wherever found","2","Endangered","Reptiles"
"Buteo platypterus brunnescens","Puerto Rican broad-winged hawk","Wherever found","4","Endangered","Birds"
"Corynorhinus (=Plecotus) townsendii ingens","Ozark big-eared bat","Wherever found","2","Endangered","Mammals"
"Eurycea chisholmensis","Salado Salamander","Wherever found","2","Threatened","Amphibians"
"Achatinella spp.","Oahu tree snails","Wherever found","1","Endangered","Snails"
"Ambystoma californiense","California tiger Salamander","U.S.A. (CA - Santa Barbara County)","8","Endangered","Amphibians"
"Gammarus pecos","Pecos amphipod","Wherever found","2","Endangered","Crustaceans"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Lemiox rimosus","Birdwing pearlymussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Alasmidonta atropurpurea","Cumberland elktoe","Wherever found","4","Endangered","Clams"
"Ictalurus pricei","Yaqui catfish","Wherever found","2","Threatened","Fishes"
"Gallirallus owstoni","Guam rail","Wherever found, except where listed as an experimental population","1","Endangered","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Hesperia dacotae","Dakota Skipper","Wherever found","3","Threatened","Insects"
"Theliderma intermedia","Cumberland monkeyface (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Gallicolumba stairi","Friendly Ground-Dove","American Samoa DPS","1","Endangered","Birds"
"Speoplatyrhinus poulsoni","Alabama cavefish","Wherever found","4","Endangered","Fishes"
"Reithrodontomys raviventris","Salt marsh harvest mouse","wherever found","8","Endangered","Mammals"
"Obovaria retusa","Ring Pink","Wherever found","4","Endangered","Clams"
"Sistrurus catenatus","Eastern Massasauga (=rattlesnake)","Wherever found","3","Threatened","Reptiles"
"Juturnia kosteri","Koster's springsnail","Wherever found","2","Endangered","Snails"
"Chasmistes cujus","Cui-ui","Wherever found","8","Endangered","Fishes"
"Physella natricina","Snake River physa snail","Wherever found","1","Endangered","Snails"
"Streptocephalus woottoni","Riverside fairy shrimp","Wherever found","8","Endangered","Crustaceans"
"Elliptio chipolaensis","Chipola slabshell","Wherever found","4","Threatened","Clams"
"Drosophila ochrobasis","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Anolis roosevelti","Culebra Island giant anole","Wherever found","4","Endangered","Reptiles"
"Noturus baileyi","Smoky madtom","Wherever found","4","Endangered","Fishes"
"Etheostoma wapiti","Boulder darter","Wherever found","4","Endangered","Fishes"
"Erimonax monachus","Spotfin Chub","U.S.A. (TN-specified portions of the Tellico River; see 17.84(m)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Batrisodes venyivi","Helotes mold beetle","Wherever found","2","Endangered","Insects"
"Marstonia pachyta","Armored snail","Wherever found","4","Endangered","Snails"
"Hylaeus anthracinus","Anthricinan yellow-faced bee","Wherever found","1","Endangered","Insects"
"Martes caurina","Pacific Marten, Coastal Distinct Population Segment","Wherever found","8","Threatened","Mammals"
"Dipodomys nitratoides nitratoides","Tipton kangaroo rat","Wherever found","8","Endangered","Mammals"
"Pleurobema taitianum","Heavy pigtoe","Wherever found","4","Endangered","Clams"
"Partula gibba","Humped tree snail","Wherever found","1","Endangered","Snails"
"Percina aurora","Pearl darter","Wherever found","4","Threatened","Fishes"
"Batrachoseps aridus","Desert slender salamander","Wherever found","8","Endangered","Amphibians"
"Strymon acis bartrami","Bartram's hairstreak Butterfly","Wherever found","4","Endangered","Insects"
"Lanius ludovicianus mearnsi","San Clemente loggerhead shrike","Wherever found","8","Endangered","Birds"
"Canis lupus","Gray wolf","MN","3","Threatened","Mammals"
"Etheostoma scotti","Cherokee darter","Wherever found","4","Threatened","Fishes"
"Gila robusta jordani","Pahranagat roundtail chub","Wherever found","8","Endangered","Fishes"
"Vetericaris chaceorum","Anchialine pool shrimp","Wherever found","1","Endangered","Crustaceans"
"Rhinichthys osculus nevadensis","Ash Meadows speckled dace","Wherever found","8","Endangered","Fishes"
"Etheostoma fonticola","Fountain darter","Wherever found","2","Endangered","Fishes"
"Pseudocopaeodes eunus obscurus","Carson wandering skipper","Wherever found","8","Endangered","Insects"
"Crocodylus acutus","American crocodile","U.S.A. (FL)","4","Threatened","Reptiles"
"Ptychobranchus subtentus","Fluted kidneyshell","Wherever found","4","Endangered","Clams"
"Lampsilis higginsii","Higgins eye (pearlymussel)","Wherever found","3","Endangered","Clams"
"Graptemys flavimaculata","Yellow-blotched map turtle","Wherever found","4","Threatened","Reptiles"
"Margaritifera marrianae","Alabama pearlshell","Wherever found","4","Endangered","Clams"
"Rana boylii","Foothill yellow-legged frog","South Sierra Distinct Population Segment (South Sierra DPS)","8","Endangered","Amphibians"
"Quadrula fragosa","Winged Mapleleaf","U.S.A. (AL-specified portions of the Tennessee River; see 17.85(a)(1))","4","Experimental Population, Non-Essential","Clams"
"Menidia extensa","Waccamaw silverside","Wherever found","4","Threatened","Fishes"
"Telespiza ultima","Nihoa finch","Wherever found","1","Endangered","Birds"
"Lepidomeda albivallis","White River spinedace","Wherever found","8","Endangered","Fishes"
"Gopherus polyphemus","Gopher tortoise","Western DPS","4","Threatened","Reptiles"
"Erinna newcombi","Newcomb's snail","Wherever found","1","Threatened","Snails"
"Amblyopsis rosae","Ozark cavefish","Wherever found","4","Threatened","Fishes"
"Notropis buccula","Smalleye Shiner","Wherever found","2","Endangered","Fishes"
"Pterodroma cahow","Bermuda petrel","Wherever found","4","Endangered","Birds"
"Antigone canadensis pulla","Mississippi sandhill crane","Wherever found","4","Endangered","Birds"
"Corvus kubaryi","Mariana (=aga) Crow","Wherever found","1","Endangered","Birds"
"Laterallus jamaicensis ssp. jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"
"Trimerotropis infantilis","Zayante band-winged grasshopper","Wherever found","8","Endangered","Insects"
"Etheostoma sellare","Maryland darter","Wherever found","5","Endangered","Fishes"
"Lepidurus packardi","Vernal pool tadpole shrimp","Wherever found","8","Endangered","Crustaceans"
"Telespiza cantans","Laysan finch","Wherever found","1","Endangered","Birds"
"Gopherus flavomarginatus","Bolson tortoise","","2","Endangered","Reptiles"
"Notropis oxyrhynchus","Sharpnose Shiner","Wherever found","2","Endangered","Fishes"
"Gymnogyps californianus","California condor","U.S.A. (specific portions of Arizona, Nevada, and Utah)","8","Experimental Population, Non-Essential","Birds"
"Cumberlandia monodonta","Spectaclecase (mussel)","Wherever found","3","Endangered","Clams"
"Hamiota altilis","Finelined pocketbook","Wherever found","4","Threatened","Clams"
"Orthalicus reses (not incl. nesodryas)","Stock Island tree snail","Wherever found","4","Threatened","Snails"
"Masticophis lateralis euryxanthus","Alameda whipsnake (=striped racer)","Wherever found","8","Threatened","Reptiles"
"Noturus flavipinnis","Yellowfin madtom","U.S.A. (TN-specified portions of the Tellico River; see 17.84(e)(1)(ii))","4","Experimental Population, Non-Essential","Fishes"
"Epioblasma obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","3","Experimental Population, Non-Essential","Clams"
"Villosa perpurpurea","Purple bean","Wherever found","5","Endangered","Clams"
"Setophaga angelae","Elfin-woods warbler","Wherever found","4","Threatened","Birds"
"Novisuccinea chittenangoensis","Chittenango ovate amber snail","Wherever found","5","Threatened","Snails"
"Enhydra lutris nereis","Southern sea otter","Wherever found","8","Threatened","Mammals"
"Noturus flavipinnis","Yellowfin madtom","U.S.A. (TN, VA-specified portions of the Holston River and watershed; see 17.84(e)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Pyrgus ruralis lagunae","Laguna Mountains skipper","Wherever found","8","Endangered","Insects"
"Chasiempis ibidis","Oahu elepaio","Wherever found","1","Endangered","Birds"
"Gambusia gaigei","Big Bend gambusia","Wherever found","2","Endangered","Fishes"
"Syncaris pacifica","California freshwater shrimp","Wherever found","8","Endangered","Crustaceans"
"Nerodia erythrogaster neglecta","Copperbelly water snake","Indiana north of 40 degrees north latitude, Michigan, Ohio","3","Threatened","Reptiles"
"Tayshaneta myopica","Tooth Cave spider","Wherever found","2","Endangered","Arachnids"
"Anas laysanensis","Laysan duck","Wherever found","1","Endangered","Birds"
"Salvelinus confluentus","Bull Trout","Clackamas River subbasin experimental population","1","Experimental Population, Non-Essential","Fishes"
"Necturus alabamensis","Black warrior (=Sipsey Fork) Waterdog","Wherever found","4","Endangered","Amphibians"
"Rhadine persephone","Tooth Cave ground beetle","Wherever found","2","Endangered","Insects"
"Euphydryas anicia cloudcrofti","Sacramento Mountains checkerspot Butterfly","Wherever found","2","Endangered","Insects"
"Habroscelimorpha dorsalis dorsalis","Northeastern beach tiger beetle","Wherever found","5","Threatened","Insects"
"Stygobromus hayi","Hay's Spring amphipod","Wherever found","5","Endangered","Crustaceans"
"Patagioenas inornata wetmorei","Puerto Rican plain Pigeon","Wherever found","4","Endangered","Birds"
"Myadestes lanaiensis rutha","Molokai `oloma`o","Wherever found","1","Endangered","Birds"
"Partulina variabilis","Lanai tree snail","Wherever found","1","Endangered","Snails"
"Pyrgulopsis bruneauensis","Bruneau Hot springsnail","Wherever found","1","Endangered","Snails"
"Gila purpurea","Yaqui chub","Wherever found","2","Endangered","Fishes"
"Cambarus callainus","Big Sandy crayfish","Wherever found","5","Threatened","Crustaceans"
"Acipenser oxyrinchus (=oxyrhynchus) desotoi","Gulf sturgeon","Wherever found","4","Threatened","Fishes"
"Procaris hawaiana","Anchialine pool Shrimp","Wherever found","1","Endangered","Crustaceans"
"Cambarus veteranus","Guyandotte River crayfish","Wherever found","5","Endangered","Crustaceans"
"Dromus dromas","Dromedary pearlymussel","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Percina williamsi","Sickle darter","Wherever found","4","Threatened","Fishes"
"Truncilla macrodon","Texas fawnsfoot","Wherever found","2","Threatened","Clams"
"Phoxinus cumberlandensis","Blackside dace","Wherever found","4","Threatened","Fishes"
"Polygyriscus virginianus","Virginia fringed mountain snail","Wherever found","5","Endangered","Snails"
"Setophaga chrysoparia","golden-cheeked warbler","Wherever found","2","Endangered","Birds"
"Euchloe ausonides insulanus","Island marble Butterfly","Wherever found","1","Endangered","Insects"
"Pleuronaia dolabelloides","Slabside Pearlymussel","Wherever found","4","Endangered","Clams"
"Drosophila sharpi","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Ambrysus amargosus","Ash Meadows naucorid","Wherever found","8","Threatened","Insects"
"Glyptemys muhlenbergii","bog turtle","Wherever found, except GA, NC, SC, TN, VA","5","Threatened","Reptiles"
"Partula radiolata","Guam tree snail","Wherever found","1","Endangered","Snails"
"Oncorhynchus clarkii henshawi","Lahontan cutthroat trout","Wherever found","8","Threatened","Fishes"
"Euphydryas editha taylori","Taylor's (=whulge) Checkerspot","Wherever found","1","Endangered","Insects"
"Tryonia alamosae","Alamosa springsnail","Wherever found","2","Endangered","Snails"
"Perognathus longimembris pacificus","Pacific pocket mouse","Wherever found","8","Endangered","Mammals"
"Salmo salar","Atlantic salmon","Gulf of Maine DPS","5","Endangered","Fishes"
"Hesperia leonardus montana","Pawnee montane skipper","Wherever found","6","Threatened","Insects"
"Erimystax cahni","Slender chub","U.S.A. (TN - specified portions of the French Broad and Holston  Rivers; see 17.84(s)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Loxops coccineus","Hawaii akepa","Wherever found","1","Endangered","Birds"
"Dipodomys nitratoides exilis","Fresno kangaroo rat","Wherever found","8","Endangered","Mammals"
"Somatochlora hineana","Hine's emerald dragonfly","Wherever found","3","Endangered","Insects"
"Nicrophorus americanus","American burying beetle","Wherever found, except where listed as an experimental population","2","Threatened","Insects"
"Theliderma sparsa","Appalachian monkeyface (pearlymussel)","USA (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Lasiurus cinereus semotus","Hawaiian hoary bat","Wherever found","1","Endangered","Mammals"
"Phoebastria (=Diomedea) albatrus","Short-tailed albatross","Wherever found","7","Endangered","Birds"
"Cicindela nevadica lincolniana","Salt Creek Tiger beetle","Wherever found","6","Endangered","Insects"
"Percina antesella","Amber darter","Wherever found","4","Endangered","Fishes"
"Tympanuchus cupido attwateri","Attwater's greater prairie-chicken","Wherever found","2","Endangered","Birds"
"Megalagrion xanthomelas","Orangeblack Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Hemileuca maia menyanthevora (=H. iroquois)","bog buck moth","Wherever found","5","Endangered","Insects"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Tayshaneta microps","Government Canyon Bat Cave spider","Wherever found","2","Endangered","Arachnids"
"Graptemys ernsti","Escambia Map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Lampsilis rafinesqueana","Neosho Mucket","Wherever found","4","Endangered","Clams"
"Discus macclintocki","Iowa Pleistocene snail","Wherever found","3","Endangered","Snails"
"Canis lupus baileyi","Mexican wolf","U.S.A. (portions of AZ and NM)see 17.84(k)","2","Experimental Population, Non-Essential","Mammals"
"Peromyscus polionotus phasma","Anastasia Island beach mouse","Wherever found","4","Endangered","Mammals"
"Theliderma intermedia","Cumberland monkeyface (pearlymussel)","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Bombus affinis","Rusty patched bumble bee","Wherever found","3","Endangered","Insects"
"Eremichthys acros","Desert dace","Wherever found","8","Threatened","Fishes"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Parvaspina collina","James spinymussel","Wherever found","5","Endangered","Clams"
"Cambarus aculabrum","Benton County cave crayfish","Wherever found","4","Endangered","Crustaceans"
"Deltistes luxatus","Lost River sucker","Wherever found","8","Endangered","Fishes"
"Heraclides aristodemus ponceanus","Schaus swallowtail butterfly","Wherever found","4","Endangered","Insects"
"Elliptoideus sloatianus","Purple bankclimber (mussel)","Wherever found","4","Threatened","Clams"
"Loxioides bailleui","Palila (honeycreeper)","Wherever found","1","Endangered","Birds"
"Grus americana","Whooping crane","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Caracara plancus audubonii","Crested caracara (Audubon''''s) [FL DPS]","FL DPS","4","Threatened","Birds"
"Acrocephalus luscinia","Nightingale reed warbler (old world warbler)","Wherever found","1","Endangered","Birds"
"Canis lupus baileyi","Mexican wolf","Wherever found, except where listed as an experimental population","2","Endangered","Mammals"
"Dromus dromas","Dromedary pearlymussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Zapada glacier","Western glacier stonefly","Wherever found","6","Threatened","Insects"
"Phaeognathus hubrichti","Red Hills salamander","Wherever found","4","Threatened","Amphibians"
"Mustela nigripes","Black-footed ferret","Wherever found, except where listed as an experimental population","6","Endangered","Mammals"
"Cyprinodon radiosus","Owens pupfish","Wherever found","8","Endangered","Fishes"
"Pleurobema athearni","Canoe Creek Clubshell","Wherever found","4","Endangered","Clams"
"Fusconaia cor","Shiny pigtoe","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Ambystoma cingulatum","Frosted Flatwoods salamander","Wherever found","4","Threatened","Amphibians"
"Atlantea tulita","Puerto Rican harlequin butterfly","Wherever found","4","Threatened","Insects"
"Taylorconcha serpenticola","Bliss Rapids snail","Wherever found","1","Threatened","Snails"
"Speyeria zerene myrtleae","Myrtle's silverspot butterfly","Wherever found","8","Endangered","Insects"
"Rallus obsoletus obsoletus","California Ridgway''s rail","Wherever found","8","Endangered","Birds"
"Gambusia nobilis","Pecos gambusia","Wherever found","2","Endangered","Fishes"
"Vagrans egistina","Mariana wandering butterfly","Wherever found","1","Endangered","Insects"
"Oncorhynchus clarkii seleniris","Paiute cutthroat trout","Wherever found","8","Threatened","Fishes"
"Etheostoma chienense","Relict darter","Wherever found","4","Threatened","Fishes"
"Ovis canadensis nelsoni","Peninsular bighorn sheep","Peninsular CA pop.","8","Endangered","Mammals"
"Chrosomus saylori","Laurel dace","Wherever found","4","Endangered","Fishes"
"Aerodramus bartschi","Mariana swiftlet","Wherever found","1","Endangered","Birds"
