"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Psittirostra psittacea","`O`u (honeycreeper)","Wherever found","1","Endangered","Birds"
"Bison bison athabascae","Wood Bison","Alaska Experimental Population","7","Experimental Population, Non-Essential","Mammals"
"Cicurina madla","Madla Cave Meshweaver","Wherever found","2","Endangered","Arachnids"
"Pleurobema decisum","Southern clubshell","Wherever found","4","Endangered","Clams"
"Hylaeus facilis","Easy yellow-faced bee","Wherever found","1","Endangered","Insects"
"Fusconaia subrotunda","Longsolid","Wherever found","4","Threatened","Clams"
"Megalagrion pacificum","Pacific Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Polioptila californica californica","Coastal California gnatcatcher","Wherever found","8","Threatened","Birds"
"Popenaias popeii","Texas Hornshell","Wherever found","2","Endangered","Clams"
"Epioblasma obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","Wherever found; Except where listed as Experimental Populations","3","Endangered","Clams"
"Fulica alai","Hawaiian coot (alae ke`oke`o)","Wherever found","1","Endangered","Birds"
"Hemistena lata","Cracking pearlymussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Helminthoglypta walkeriana","Morro shoulderband (=Banded dune) snail","Wherever found","8","Threatened","Snails"
"Sterna dougallii dougallii","Roseate tern","Northeast U.S. nesting population","5","Endangered","Birds"
"Etheostoma moorei","Yellowcheek Darter","Wherever found","4","Endangered","Fishes"
"Etheostoma phytophilum","Rush Darter","Wherever found","4","Endangered","Fishes"
"Drepanis coccinea","`I`iwi","Wherever found","1","Threatened","Birds"
"Himantopus mexicanus knudseni","Hawaiian stilt","Wherever found","1","Endangered","Birds"
"Pyrgulopsis trivialis","Three Forks Springsnail","Wherever found","2","Endangered","Snails"
"Notropis cahabae","Cahaba shiner","Wherever found","4","Endangered","Fishes"
"Melozone crissalis eremophilus","Inyo California towhee","Wherever found","8","Threatened","Birds"
"Antrolana lira","Madison Cave isopod","Wherever found","5","Threatened","Crustaceans"
"Etheostoma akatulo","bluemask darter","Wherever found","4","Endangered","Fishes"
"Gila ditaenia","Sonora chub","Wherever found","2","Threatened","Fishes"
"Obovaria retusa","Ring Pink","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Drosophila montgomeryi","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Cicindela ohlone","Ohlone tiger beetle","Wherever found","8","Endangered","Insects"
"Dinacoma caseyi","Casey's June Beetle","Wherever found","8","Endangered","Insects"
"Lepidochelys olivacea","Olive ridley sea turtle","Breeding colony populations on Pacific coast of Mexico","4","Endangered","Reptiles"
"Gammarus hyalleloides","Diminutive Amphipod","Wherever found","2","Endangered","Crustaceans"
"Elaphrus viridis","Delta green ground beetle","Wherever found","8","Threatened","Insects"
"Texamaurops reddelli","Kretschmarr Cave mold beetle","Wherever found","2","Endangered","Insects"
"Erimystax cahni","Slender chub","Wherever found","4","Threatened","Fishes"
"Thomomys mazama pugetensis","Olympia pocket gopher","Wherever found","1","Threatened","Mammals"
"Chasmistes liorus","June sucker","Wherever found","6","Threatened","Fishes"
"Paroreomyza maculata","O`ahu `alauahio","Wherever found","1","Endangered","Birds"
"Thomomys mazama glacialis","Roy Prairie pocket gopher","Wherever found","1","Threatened","Mammals"
"Crenichthys baileyi grandis","Hiko White River springfish","Wherever found","8","Endangered","Fishes"
"Sterna dougallii dougallii","Roseate tern","Western Hemisphere except NE U.S.","4","Threatened","Birds"
"Villosa trabalis","Cumberland bean (pearlymussel)","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Plethobasus cicatricosus","White wartyback (pearlymussel)","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Drosophila digressa","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Branchinecta sandiegonensis","San Diego fairy shrimp","Wherever found","8","Endangered","Crustaceans"
"Epioblasma capsaeformis","Oyster mussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Pleurobema clava","Clubshell","Wherever found; Except where listed as Experimental Populations","5","Endangered","Clams"
"Athearnia anthonyi","Anthony's riversnail","Wherever found; Except where listed as Experimental Populations","4","Endangered","Snails"
"Sylvilagus palustris hefneri","Lower Keys marsh rabbit","Wherever found","4","Endangered","Mammals"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Etheostoma nianguae","Niangua darter","Wherever found","3","Threatened","Fishes"
"Pyrgulopsis neomexicana","Socorro springsnail","Wherever found","2","Endangered","Snails"
"Campephilus principalis","Ivory-billed woodpecker","Wherever found","4","Endangered","Birds"
"Epioblasma curtisii","Curtis Pearlymussel","Wherever found","3","Endangered","Clams"
"Obovaria subrotunda","Round hickorynut","Wherever found","3","Threatened","Clams"
"Ammospiza maritima mirabilis","Cape Sable seaside sparrow","Wherever found","4","Endangered","Birds"
"Gallinula galeata sandvicensis","Hawaiian common gallinule","Wherever found","1","Endangered","Birds"
"Quadrula cylindrica strigillata","Rough rabbitsfoot","Wherever found","5","Endangered","Clams"
"Percina jenkinsi","Conasauga logperch","Wherever found","4","Endangered","Fishes"
"Gymnogyps californianus","California condor","Pacific Northwest NEP","8","Experimental Population, Non-Essential","Birds"
"Pyrgulopsis bernardina","San Bernardino springsnail","Wherever found","2","Threatened","Snails"
"Sceloporus arenicolus","Dunes sagebrush lizard","Wherever found","2","Endangered","Reptiles"
"Vulpes vulpes necator","Sierra Nevada red fox","","8","Endangered","Mammals"
"Pterodroma hasitata","Black-capped Petrel","Wherever found","4","Endangered","Birds"
"Lampsilis virescens","Alabama lampmussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Pleuronaia gibber","Cumberland pigtoe","Wherever found","4","Endangered","Clams"
"Cyprogenia stegaria","Fanshell","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Enhydra lutris kenyoni","Northern Sea Otter","Southwest Alaska DPS","7","Threatened","Mammals"
"Graptemys pulchra","Alabama Map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Oncorhynchus gilae","Gila trout","Wherever found","2","Threatened","Fishes"
"Fusconaia escambia","Narrow pigtoe","Wherever found","4","Threatened","Clams"
"Hemistena lata","Cracking pearlymussel","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Leptoxis ampla","Round rocksnail","Wherever found","4","Threatened","Snails"
"Lycaeides argyrognomon lotis","Lotis blue butterfly","Wherever found","8","Endangered","Insects"
"Notropis topeka (=tristis)","Topeka shiner","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Branchinecta lynchi","Vernal pool fairy shrimp","Wherever found","8","Threatened","Crustaceans"
"Medionidus simpsonianus","Ochlockonee moccasinshell","Wherever found","4","Endangered","Clams"
"Plethobasus cicatricosus","White wartyback (pearlymussel)","Wherever found","4","Endangered","Clams"
"Epioblasma brevidens","Cumberlandian combshell","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Loxops mana","Hawaii creeper","Wherever found","1","Endangered","Birds"
"Epioblasma triquetra","Snuffbox mussel","Wherever found","3","Endangered","Clams"
"Plethobasus cooperianus","Orangefoot pimpleback (pearlymussel)","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Pseudemys rubriventris bangsi","Plymouth Redbelly Turtle = Plymouth Redbelly Cooter","Wherever found","5","Endangered","Reptiles"
"Gymnomyza samoensis","Mao (= maomao) (honeyeater)","Wherever found","1","Endangered","Birds"
"Gila elegans","Bonytail","Wherever found","6","Endangered","Fishes"
"Lampsilis bergmanni","Guadalupe Fatmucket","","2","Endangered","Clams"
"Thamnophis rufipunctatus","Narrow-headed gartersnake","Wherever found","2","Threatened","Reptiles"
"Epioblasma brevidens","Cumberlandian combshell","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Eumeces egregius lividus","blue-tailed mole skink","Wherever found","4","Threatened","Reptiles"
"Rhadine exilis","[no common name] Beetle","Wherever found","2","Endangered","Insects"
"Cyprinodon nevadensis pectoralis","Warm Springs pupfish","Wherever found","8","Endangered","Fishes"
"Microtus pennsylvanicus dukecampbelli","Florida salt marsh vole","Wherever found","4","Endangered","Mammals"
"Epioblasma florentina walkeri (=E. walkeri)","Tan riffleshell","Wherever found","4","Endangered","Clams"
"Quadrula cylindrica cylindrica","Rabbitsfoot","Wherever found","4","Threatened","Clams"
"Cambarus zophonastes","Hell Creek Cave crayfish","Wherever found","4","Endangered","Crustaceans"
"Palaemonias alabamae","Alabama cave shrimp","Wherever found","4","Endangered","Crustaceans"
"Neonympha mitchellii mitchellii","Mitchell's satyr Butterfly","Wherever found","3","Endangered","Insects"
"Sternula antillarum browni","California least tern","Wherever found","8","Endangered","Birds"
"Icaricia icarioides fenderi","Fender's blue butterfly","Wherever found","1","Threatened","Insects"
"Lepyrium showalteri","Flat pebblesnail","Wherever found","4","Endangered","Snails"
"Canis rufus","Red wolf","U.S.A. (portions of NC and TN)","4","Experimental Population, Non-Essential","Mammals"
"Epioblasma brevidens","Cumberlandian combshell","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Plagopterus argentissimus","Woundfin","Gila R. drainage, AZ, NM","6","Experimental Population, Non-Essential","Fishes"
"Corynorhinus (=Plecotus) townsendii virginianus","Virginia big-eared bat","Wherever found","5","Endangered","Mammals"
"Fusconaia burkei","Tapered pigtoe","Wherever found","4","Threatened","Clams"
"Epioblasma capsaeformis","Oyster mussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Etheostoma etowahae","Etowah darter","Wherever found","4","Endangered","Fishes"
"Amazona vittata","Puerto Rican parrot","Wherever found","4","Endangered","Birds"
"Elassoma alabamae","Spring pygmy sunfish","Wherever found","4","Threatened","Fishes"
"Grus americana","Whooping crane","U.S.A. (CO, ID, FL, NM, UT, and the western half of Wyoming)","2","Experimental Population, Non-Essential","Birds"
"Peromyscus polionotus ammobates","Alabama beach mouse","Wherever found","4","Endangered","Mammals"
"Drosophila aglaia","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Scaphirhynchus suttkusi","Alabama sturgeon","Wherever found","4","Endangered","Fishes"
"Hamiota subangulata","Shinyrayed pocketbook","Wherever found","4","Endangered","Clams"
"Batrisodes texanus","Coffin Cave mold beetle","Wherever found","2","Endangered","Insects"
"Polysticta stelleri","Steller's Eider","AK breeding pop.","7","Threatened","Birds"
"Peromyscus gossypinus allapaticola","Key Largo cotton mouse","Wherever found","4","Endangered","Mammals"
"Tryonia cheatumi","Phantom Tryonia","Wherever found","2","Endangered","Snails"
"Pleurobema curtum","Black clubshell","Wherever found","4","Endangered","Clams"
"Lirceus usdagalun","Lee County cave isopod","Wherever found","5","Endangered","Crustaceans"
"Peromyscus polionotus peninsularis","St. Andrew beach mouse","Wherever found","4","Endangered","Mammals"
"Myadestes palmeri","Puaiohi","Wherever found","1","Endangered","Birds"
"Pseudonestor xanthophrys","Maui parrotbill (Kiwikiu)","Wherever found","1","Endangered","Birds"
"Medionidus penicillatus","Gulf moccasinshell","Wherever found","4","Endangered","Clams"
"Brachylagus idahoensis","Pygmy Rabbit","Columbia Basin DPS","1","Endangered","Mammals"
"Caretta caretta","Loggerhead sea turtle","Northwest Atlantic Ocean DPS","4","Threatened","Reptiles"
"Percina aurolineata","Goldline darter","Wherever found","4","Threatened","Fishes"
"Notropis mekistocholas","Cape Fear shiner","Wherever found","4","Endangered","Fishes"
"Potamilus inflatus","Inflated heelsplitter","Wherever found","4","Threatened","Clams"
"Etheostoma chermocki","Vermilion darter","Wherever found","4","Endangered","Fishes"
"Thamnophis gigas","Giant garter snake","Wherever found","8","Threatened","Reptiles"
"Brachyramphus marmoratus","Marbled Murrelet","U.S.A. (CA, OR, WA)","1","Threatened","Birds"
"Alasmidonta raveneliana","Appalachian elktoe","Wherever found","4","Endangered","Clams"
"Lioplax cyclostomaformis","Cylindrical lioplax (snail)","Wherever found","4","Endangered","Snails"
"Eremophila alpestris strigata","Streaked Horned lark","Wherever found","1","Threatened","Birds"
"Hemistena lata","Cracking pearlymussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Hylaeus assimulans","Assimulans yellow-faced bee","Wherever found","1","Endangered","Insects"
"Palaemonias ganteri","Kentucky cave shrimp","Wherever found","4","Endangered","Crustaceans"
"Hamiota perovalis","Orangenacre mucket","Wherever found","4","Threatened","Clams"
"Megalagrion nigrohamatum nigrolineatum","Blackline Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Campeloma decampi","Slender campeloma","Wherever found","4","Endangered","Snails"
"Gila bicolor ssp.","Hutton tui chub","Wherever found","1","Threatened","Fishes"
"Glyptemys muhlenbergii","bog turtle","U.S.A. (GA, NC, SC, TN, VA)","4","Similarity of Appearance (Threatened)","Reptiles"
"Hylaeus kuakea","Hawaiian yellow-faced bee","Wherever found","1","Endangered","Insects"
"Elliptio spinosa","Altamaha Spinymussel","Wherever found","4","Endangered","Clams"
"Macrhybopsis tetranema","Peppered chub","Wherever found","2","Endangered","Fishes"
"Adelocosa anops","Kauai cave wolf or pe'e pe'e maka 'ole spider","Wherever found","1","Endangered","Arachnids"
"Eleutherodactylus juanariveroi","Llanero Coqui","Wherever found","4","Endangered","Amphibians"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Rana boylii","Foothill yellow-legged frog","South Coast Distinct Population Segment (South Coast DPS)","8","Endangered","Amphibians"
"Noturus crypticus","Chucky Madtom","Wherever found","4","Endangered","Fishes"
"Etheostoma wapiti","Boulder darter","Shoal Creek","4","Experimental Population, Non-Essential","Fishes"
"Thamnophis sirtalis tetrataenia","San Francisco garter snake","Wherever found","8","Endangered","Reptiles"
"Eurycea nana","San Marcos salamander","Wherever found","2","Threatened","Amphibians"
"Fusconaia cuneolus","Finerayed pigtoe","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Orconectes shoupi","Nashville crayfish","Wherever found","4","Endangered","Crustaceans"
"Zapus hudsonius preblei","Preble's meadow jumping mouse","wherever found","6","Threatened","Mammals"
"Euproserpinus euterpe","Kern primrose sphinx moth","Wherever found","8","Threatened","Insects"
"Pleurobema plenum","Rough pigtoe","Wherever found","4","Endangered","Clams"
"Centrocercus minimus","Gunnison sage-grouse","Wherever found","6","Threatened","Birds"
"Ptychobranchus jonesi","Southern kidneyshell","Wherever found","4","Endangered","Clams"
"Marstonia ogmorhaphe","Royal marstonia (snail)","Wherever found","4","Endangered","Snails"
"Stygobromus (=Stygonectes) pecki","Peck's cave amphipod","Wherever found","2","Endangered","Crustaceans"
"Leopardus (=Felis) pardalis","Ocelot","wherever found","2","Endangered","Mammals"
"Leptonycteris nivalis","Mexican long-nosed bat","Wherever found","2","Endangered","Mammals"
"Cyprogenia sp. cf. aberti","Ouachita fanshell","","4","Threatened","Clams"
"Oarisma poweshiek","Poweshiek skipperling","Wherever found","3","Endangered","Insects"
"Charadrius melodus","Piping Plover","[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)","3","Endangered","Birds"
"Lasmigona decorata","Carolina heelsplitter","Wherever found","4","Endangered","Clams"
"Fusconaia cor","Shiny pigtoe","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Oncorhynchus clarkii stomias","Greenback Cutthroat trout","Wherever found","6","Threatened","Fishes"
"Antilocapra americana sonoriensis","Sonoran pronghorn","U.S.A. (AZ), Mexico","2","Experimental Population, Non-Essential","Mammals"
"Rana sevosa","dusky gopher frog","Wherever found","4","Endangered","Amphibians"
"Gila seminuda (=robusta)","Virgin River Chub","Wherever found","6","Endangered","Fishes"
"Gila bicolor ssp. snyderi","Owens Tui Chub","Wherever found","8","Endangered","Fishes"
"Hybognathus amarus","Rio Grande Silvery Minnow","Wherever found, except where listed as an experimental population","2","Endangered","Fishes"
"Megalagrion oceanicum","Oceanic Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Cryptobranchus alleganiensis alleganiensis","Eastern Hellbender","Missouri DPS","3","Endangered","Amphibians"
"Ptychobranchus greenii","Triangular Kidneyshell","Wherever found","4","Endangered","Clams"
"Thomomys mazama yelmensis","Yelm pocket gopher","Wherever found","1","Threatened","Mammals"
"Pegias fabula","Littlewing pearlymussel","Wherever found","4","Endangered","Clams"
"Grus americana","Whooping crane","U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)","2","Experimental Population, Non-Essential","Birds"
"Drosophila musaphilia","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Catostomus santaanae","Santa Ana sucker","3 CA river basins","8","Threatened","Fishes"
"Boloria acrocnema","Uncompahgre fritillary butterfly","Wherever found","6","Endangered","Insects"
"Ameiva polops","St. Croix ground lizard","Wherever found","4","Endangered","Reptiles"
"Callophrys mossii bayensis","San Bruno elfin butterfly","Wherever found","8","Endangered","Insects"
"Samoana fragilis","Fragile tree snail","Wherever found","1","Endangered","Snails"
"Rallus obsoletus yumanensis","Yuma Ridgway's rail","Wherever found","2","Endangered","Birds"
"Oncorhynchus aguabonita whitei","Little Kern golden Trout","Wherever found","8","Threatened","Fishes"
"Etheostoma percnurum","Duskytail darter","Wherever found","4","Endangered","Fishes"
"Villosa trabalis","Cumberland bean (pearlymussel)","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Chilabothrus granti","Virgin Islands tree boa","Wherever found","4","Endangered","Reptiles"
"Rana sierrae","Sierra Nevada Yellow-legged Frog","Wherever found","8","Endangered","Amphibians"
"Noturus furiosus","Carolina madtom","Wherever found","4","Endangered","Fishes"
"Potamilus capax","Fat pocketbook","Wherever found","4","Endangered","Clams"
"Peromyscus polionotus allophrys","Choctawhatchee beach mouse","Wherever found","4","Endangered","Mammals"
"Neoseps reynoldsi","Sand skink","Wherever found","4","Threatened","Reptiles"
"Peromyscus polionotus niveiventris","Southeastern beach mouse","wherever found","4","Threatened","Mammals"
"Lepidomeda mollispinis pratensis","Big Spring spinedace","Wherever found","8","Threatened","Fishes"
"Lepidomeda vittata","Little Colorado spinedace","Wherever found","2","Threatened","Fishes"
"Plethobasus cooperianus","Orangefoot pimpleback (pearlymussel)","Wherever found","4","Endangered","Clams"
"Desmocerus californicus dimorphus","Valley elderberry longhorn beetle","Wherever found","8","Threatened","Insects"
"Anaxyrus williamsi","Dixie Valley Toad","","8","Endangered","Amphibians"
"Stygoparnus comalensis","Comal Springs dryopid beetle","Wherever found","2","Endangered","Insects"
"Rana draytonii","California red-legged frog","Wherever found","8","Threatened","Amphibians"
"Cottus paulus (=pygmaeus)","Pygmy Sculpin","Wherever found","4","Threatened","Fishes"
"Calidris canutus rufa","rufa red knot","Wherever found","5","Threatened","Birds"
"Ovis canadensis sierrae","Sierra Nevada bighorn sheep","Sierra Nevada","8","Endangered","Mammals"
"Pyrgulopsis texana","Phantom Springsnail","Wherever found","2","Endangered","Snails"
"Loxops caeruleirostris","Akekee","Wherever found","1","Endangered","Birds"
"Notropis girardi","Arkansas River shiner","Arkansas River Basin (AR, KS, NM, OK, TX)","2","Threatened","Fishes"
"Theliderma sparsa","Appalachian monkeyface (pearlymussel)","Wherever found","5","Endangered","Clams"
"Vulpes macrotis mutica","San Joaquin kit fox","wherever found","8","Endangered","Mammals"
"Cyprinella formosa","Beautiful shiner","Wherever found","2","Threatened","Fishes"
"Athearnia anthonyi","Anthony's riversnail","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Snails"
"Anaxyrus californicus","Arroyo (=arroyo southwestern) toad","Wherever found","8","Endangered","Amphibians"
"Eua zebrina","Snail [no common name]","Wherever found","1","Endangered","Snails"
"Ellipsoptera puritana","Puritan tiger beetle","Wherever found","5","Threatened","Insects"
"Plethodon nettingi","Cheat Mountain salamander","Wherever found","5","Threatened","Amphibians"
"Zapus hudsonius luteus","New Mexico meadow jumping mouse","Wherever found","2","Endangered","Mammals"
"Bufo houstonensis","Houston toad","Wherever found","2","Endangered","Amphibians"
"Poeciliopsis occidentalis","Gila topminnow (incl. Yaqui)","Wherever found","2","Endangered","Fishes"
"Cyprinodon elegans","Comanche Springs pupfish","Wherever found","2","Endangered","Fishes"
"Lednia tumana","Meltwater lednian stonefly","Wherever found","6","Threatened","Insects"
"Numenius borealis","Eskimo curlew","Wherever found","7","Endangered","Birds"
"Emoia slevini","Slevin's skink","Wherever found","1","Endangered","Reptiles"
"Spirinchus thaleichthys","Longfin Smelt","San Francisco Bay-Delta DPS","8","Endangered","Fishes"
"Gopherus agassizii","Desert tortoise","AZ south and east of Colorado R., and Mexico, when found outside of Mexico or said range in AZ","8","Similarity of Appearance (Threatened)","Reptiles"
"Elliptio lanceolata","Yellow lance","Wherever found","4","Threatened","Clams"
"Toxolasma cylindrellus","Pale lilliput (pearlymussel)","Wherever found","4","Endangered","Clams"
"Scaphirhynchus platorynchus","Shovelnose Sturgeon","Wherever found","6","Similarity of Appearance (Threatened)","Fishes"
"Cambarus cracens","Slenderclaw crayfish","Wherever found","4","Endangered","Crustaceans"
"Procambarus econfinae","Panama City crayfish","Wherever found","4","Threatened","Crustaceans"
"Mesodon clarki nantahala","noonday snail","Wherever found","4","Threatened","Snails"
"Eleutherodactylus jasperi","Golden coqui","Wherever found","4","Threatened","Amphibians"
"Gila bicolor ssp. mohavensis","Mohave tui chub","Wherever found","8","Endangered","Fishes"
"Etheostoma nuchale","Watercress darter","Wherever found","4","Endangered","Fishes"
"Noturus baileyi","Smoky madtom","Tellico River, TN","4","Experimental Population, Non-Essential","Fishes"
"Somateria fischeri","Spectacled eider","Wherever found","7","Threatened","Birds"
"Lemiox rimosus","Birdwing pearlymussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert, and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Rana muscosa","Mountain yellow-legged frog","Southern California DPS","8","Endangered","Amphibians"
"Medionidus parvulus","Coosa moccasinshell","Wherever found","4","Endangered","Clams"
"Todiramphus cinnamominus","Guam kingfisher","Wherever found","1","Endangered","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Endangered","Mammals"
"Apodemia mormo langei","Lange's metalmark butterfly","Wherever found","8","Endangered","Insects"
"Idaholanx fresti","Banbury Springs limpet","Wherever found","1","Endangered","Snails"
