"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Pleurobema plenum","Rough pigtoe","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Rhynchopsitta pachyrhyncha","Thick-billed parrot","Wherever found","2","Endangered","Birds"
"Tulotoma magnifica","Tulotoma snail","Wherever found","4","Threatened","Snails"
"Drymarchon couperi","Eastern indigo snake","Wherever found","4","Threatened","Reptiles"
"Etheostoma percnurum","Duskytail darter","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(q)(1)(ii))","4","Experimental Population, Non-Essential","Fishes"
"Grus americana","Whooping crane","U.S.A (Southwestern Louisiana)","2","Experimental Population, Non-Essential","Birds"
"Meda fulgida","Spikedace","Wherever found","2","Endangered","Fishes"
"Etheostoma susanae","Cumberland darter","Wherever found","4","Endangered","Fishes"
"Macrochelys suwanniensis","Suwannee alligator snapping turtle","","4","Threatened","Reptiles"
"Branta (=Nesochen) sandvicensis","Hawaiian goose","Wherever found","1","Threatened","Birds"
"Leptotes cassius theonus","Cassius Blue Butterfly","Wherever found","4","Similarity of Appearance (Threatened)","Insects"
"Tympanuchus pallidicinctus","Lesser prairie-chicken","Northern DPS","2","Threatened","Birds"
"Etheostoma rubrum","Bayou darter","Wherever found","4","Threatened","Fishes"
"Fusconaia mitchelli","false spike","Wherever found","2","Endangered","Clams"
"Moapa coriacea","Moapa dace","Wherever found","8","Endangered","Fishes"
"Gulo gulo luscus","North American wolverine","Wherever found","6","Threatened","Mammals"
"Todiramphus cinnamominus","Guam kingfisher","","1","Experimental Population, Non-Essential","Birds"
"Fusconaia cor","Shiny pigtoe","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Notropis topeka (=tristis)","Topeka shiner","U.S.A. (MO-specified portions of Little Creek, Big Muddy Creek, and Spring Creek watersheds in Adair, Gentry, Harrison, Putnam, Sullivan, and Worth Counties; see 17.84(d)(1)(i))","3","Experimental Population, Non-Essential","Fishes"
"Cottus specus","Grotto Sculpin","Wherever found","3","Endangered","Fishes"
"Pseudemys alabamensis","Alabama red-bellied turtle","Wherever found","4","Endangered","Reptiles"
"Speyeria callippe callippe","Callippe silverspot butterfly","Wherever found","8","Endangered","Insects"
"Rana boylii","Foothill yellow-legged frog","Central Coast Distinct Population Segment (Central Coast DPS)","8","Threatened","Amphibians"
"Gallinula chloropus guami","Mariana common moorhen (pulattat)","Wherever found","1","Endangered","Birds"
"Lepidochelys kempii","Kemp's ridley sea turtle","Wherever found","2","Endangered","Reptiles"
"Epioblasma penita","Southern combshell","Wherever found","4","Endangered","Clams"
"Alasmidonta heterodon","Dwarf wedgemussel","Wherever found","5","Endangered","Clams"
"Hybognathus amarus","Rio Grande Silvery Minnow","Rio Grande, from Little Box Canyon to Amistad Dam","2","Experimental Population, Non-Essential","Fishes"
"Pyrgulopsis chupaderae","Chupadera springsnail","Wherever found","2","Endangered","Snails"
"Graptemys gibbonsi","Pascagoula map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Speyeria zerene behrensii","Behren's silverspot butterfly","Wherever found","8","Endangered","Insects"
"Elimia crenatella","Lacy elimia (snail)","Wherever found","4","Threatened","Snails"
"Kinosternon sonoriense longifemorale","Sonoyta mud turtle","Wherever found","2","Endangered","Reptiles"
"Gammarus desperatus","Noel's Amphipod","Wherever found","2","Endangered","Crustaceans"
"Ambystoma californiense","California tiger Salamander","U.S.A. (CA - Sonoma County)","8","Endangered","Amphibians"
"Nicrophorus americanus","American burying beetle","Ex Pop, SW Missouri","3","Experimental Population, Non-Essential","Insects"
"Tartarocreagris texana","Tooth Cave pseudoscorpion","Wherever found","2","Endangered","Arachnids"
"Microhexura montivaga","Spruce-fir moss spider","Wherever found","4","Endangered","Arachnids"
"Graptemys barbouri","Barbour's map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Puma (=Felis) concolor coryi","Florida panther","Wherever found","4","Endangered","Mammals"
"Eurycea naufragia","Georgetown Salamander","Wherever found","2","Threatened","Amphibians"
"Gila intermedia","Gila chub","Wherever found","2","Endangered","Fishes"
"Peltophryne lemur","Puerto Rican crested toad","Wherever found","4","Threatened","Amphibians"
"Acipenser transmontanus","White sturgeon","U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system","1","Endangered","Fishes"
"Ambystoma californiense","California tiger Salamander","U.S.A. (Central CA DPS)","8","Threatened","Amphibians"
"Puma yagouaroundi cacomitli","Gulf Coast jaguarundi","Wherever found","2","Endangered","Mammals"
"Colinus virginianus ridgwayi","Masked bobwhite (quail)","Wherever found","2","Endangered","Birds"
"Pituophis ruthveni","Louisiana pinesnake","Wherever found","4","Threatened","Reptiles"
"Euphilotes enoptes smithi","Smith's blue butterfly","Wherever found","8","Endangered","Insects"
"Drosophila tarphytrichia","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Graptemys oculifera","Ringed map turtle","Wherever found","4","Threatened","Reptiles"
"Cynomys parvidens","Utah prairie dog","Wherever found","6","Threatened","Mammals"
"Cyprinodon macularius","Desert pupfish","Wherever found","2","Endangered","Fishes"
"Ursus arctos horribilis","Grizzly bear","North Cascades Ecosystem Non-Essential Experimental Population","1","Experimental Population, Non-Essential","Mammals"
"Gammarus acherondytes","Illinois cave amphipod","Wherever found","3","Endangered","Crustaceans"
"Rangifer tarandus ssp. caribou","Southern Mountain Caribou DPS","Southern Mountain DPS","1","Endangered","Mammals"
"Mycteria americana","Wood stork","AL, FL, GA, MS, NC, SC","4","Threatened","Birds"
"Lampsilis bracteata","Texas fatmucket","Wherever found","2","Endangered","Clams"
"Lycaena hermes","Hermes copper butterfly","Wherever found","8","Threatened","Insects"
"Ptychocheilus lucius","Colorado pikeminnow","Salt and Verde R. drainages, AZ","6","Experimental Population, Non-Essential","Fishes"
"Euphydryas editha bayensis","Bay checkerspot butterfly","Wherever found","8","Threatened","Insects"
"Plagopterus argentissimus","Woundfin","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Assiminea pecos","Pecos assiminea snail","Wherever found","2","Endangered","Snails"
"Chelonia mydas","Green sea turtle","South Atlantic DPS","4","Threatened","Reptiles"
"Chilabothrus inornatus","Puerto Rican boa","Wherever found","4","Endangered","Reptiles"
"Charadrius nivosus nivosus","Western Snowy Plover","Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)","8","Threatened","Birds"
"Neotoma floridana smalli","Key Largo woodrat","Wherever found","4","Endangered","Mammals"
"Erimonax monachus","Spotfin Chub","U.S.A. (AL, TN-specified portions of Shoal Creek; see 17.84(m)(1)(ii))","4","Experimental Population, Non-Essential","Fishes"
"Gambusia heterochir","Clear Creek gambusia","Wherever found","2","Endangered","Fishes"
"Dionda diaboli","Devils River minnow","Wherever found","2","Threatened","Fishes"
"Bombus franklini","Franklin's bumble bee","Wherever found","1","Endangered","Insects"
"Pterodroma sandwichensis","Hawaiian petrel","Wherever found","1","Endangered","Birds"
"Empetrichthys latos","Pahrump poolfish","Wherever found","8","Endangered","Fishes"
"Epioblasma perobliqua","White catspaw (pearlymussel)","Wherever found","3","Endangered","Clams"
"Crystallaria cincotta","diamond Darter","Wherever found","5","Endangered","Fishes"
"Pekania pennanti","Fisher","SSN DPS","8","Endangered","Mammals"
"Icaricia (Plebejus) shasta charlestonensis","Mount Charleston blue butterfly","Wherever found","8","Endangered","Insects"
"Drosophila heteroneura","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Athearnia anthonyi","Anthony's riversnail","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Snails"
"Bison bison athabascae","Wood Bison","Wherever found","7","Threatened","Mammals"
"Hylaeus hilaris","Hilaris yellow-faced bee","Wherever found","1","Endangered","Insects"
"Etheostoma osburni","Candy darter","Wherever found","5","Endangered","Fishes"
"Urocitellus brunneus","Northern Idaho Ground Squirrel","Wherever found","1","Threatened","Mammals"
"Pleurobema hanleyianum","Georgia pigtoe","Wherever found","4","Endangered","Clams"
"Megalagrion nesiotes","Flying earwig Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Ostodes strigatus","Snail [no common name]","Wherever found","1","Endangered","Snails"
"Accipiter striatus venator","Puerto Rican sharp-shinned hawk","Wherever found","4","Endangered","Birds"
"Canis lupus","Gray wolf","CO","6","Experimental Population, Non-Essential","Mammals"
"Dipodomys ingens","Giant kangaroo rat","Wherever found","8","Endangered","Mammals"
"Puffinus newelli","Newell''s shearwater","Wherever found","1","Threatened","Birds"
"Hylaeus longiceps","Hawaiian yellow-faced bee","Wherever found","1","Endangered","Insects"
"Epioblasma capsaeformis","Oyster mussel","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Pleurobema clava","Clubshell","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Graptemys pearlensis","Pearl River Map Turtle","","4","Threatened","Reptiles"
"Rana pretiosa","Oregon spotted frog","Wherever found","1","Threatened","Amphibians"
"Urocyon littoralis catalinae","Santa Catalina Island Fox","Wherever found","8","Threatened","Mammals"
"Pleurobema furvum","Dark pigtoe","Wherever found","4","Endangered","Clams"
"Cicurina baronia","Robber Baron Cave Meshweaver","Wherever found","2","Endangered","Arachnids"
"Crenichthys nevadae","Railroad Valley springfish","Wherever found","8","Threatened","Fishes"
"Etheostoma boschungi","Slackwater darter","Wherever found","4","Threatened","Fishes"
"Cyclargus thomasi bethunebakeri","Miami Blue Butterfly","Wherever found","4","Endangered","Insects"
"Ptychocheilus lucius","Colorado pikeminnow","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Hypolimnas octocula marianensis","Mariana eight-spot butterfly","Wherever found","1","Endangered","Insects"
"Caretta caretta","Loggerhead sea turtle","North Pacific Ocean DPS","1","Endangered","Reptiles"
"Eurycea sosorum","Barton Springs salamander","Wherever found","2","Endangered","Amphibians"
"Puma (=Felis) concolor (all subsp. except coryi)","Puma (=mountain lion)","FL","4","Similarity of Appearance (Threatened)","Mammals"
"Epicrates monensis monensis","Mona boa","Wherever found","4","Threatened","Reptiles"
"Rhinichthys osculus thermalis","Kendall Warm Springs dace","Wherever found","6","Endangered","Fishes"
"Pleurobema pyriforme","Oval pigtoe","Wherever found","4","Endangered","Clams"
"Cyprinodon bovinus","Leon Springs pupfish","Wherever found","2","Endangered","Fishes"
"Lagopus leucura rainierensis","Mt. Rainier white-tailed ptarmigan","Wherever found","1","Threatened","Birds"
"Tamias minimus atristriatus","Penasco least chipmunk","Wherever found","2","Endangered","Mammals"
"Rhaphiomidas terminatus abdominalis","Delhi Sands flower-loving fly","Wherever found","8","Endangered","Insects"
"Aphelocoma coerulescens","Florida scrub-jay","Wherever found","4","Threatened","Birds"
"Dipodomys heermanni morroensis","Morro Bay kangaroo rat","Wherever found","8","Endangered","Mammals"
"Crenichthys baileyi baileyi","White River springfish","Wherever found","8","Endangered","Fishes"
"Fusconaia cuneolus","Finerayed pigtoe","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Amblema neislerii","Fat threeridge (mussel)","Wherever found","4","Endangered","Clams"
"Rhadine infernalis","[no common name] Beetle","Wherever found","2","Endangered","Insects"
"Cyclura stejnegeri","Mona ground Iguana","Wherever found","4","Threatened","Reptiles"
"Hemiargus ceraunus antibubastus","Ceraunus Blue Butterfly","Wherever found","4","Similarity of Appearance (Threatened)","Insects"
"Arcidens wheeleri","Ouachita rock pocketbook","Wherever found","2","Endangered","Clams"
"Zosterops rotensis","Rota bridled white-eye","Wherever found","1","Endangered","Birds"
"Odocoileus virginianus clavium","Key deer","Wherever found","4","Endangered","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Gila cypha","Humpback chub","Wherever found","6","Threatened","Fishes"
"Chelonia mydas","Green sea turtle","Central South Pacific DPS","1","Endangered","Reptiles"
"Leptoxis taeniata","Painted rocksnail","Wherever found","4","Threatened","Snails"
"Dryobates borealis","Red-cockaded woodpecker","Wherever found","4","Threatened","Birds"
"Polyphylla barbata","Mount Hermon June beetle","Wherever found","8","Endangered","Insects"
"Anguispira picta","Painted snake coiled forest snail","Wherever found","4","Threatened","Snails"
"Glaucopsyche lygdamus palosverdesensis","Palos Verdes blue butterfly","Wherever found","8","Endangered","Insects"
"Etheostoma percnurum","Duskytail darter","Tellico River, TN","4","Experimental Population, Non-Essential","Fishes"
"Ambystoma bishopi","Reticulated flatwoods salamander","Wherever found","4","Endangered","Amphibians"
"Sternotherus depressus","Flattened musk turtle","Black Warrior R. system upstream from Bankhead Dam","4","Threatened","Reptiles"
"Ambystoma mavortium stebbinsi","Sonoran tiger salamander","Wherever found","2","Endangered","Amphibians"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
"Pituophis melanoleucus lodingi","Black pinesnake","Wherever found","4","Threatened","Reptiles"
"Drosophila neoclavisetae","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Catostomus warnerensis","Warner sucker","Wherever found","1","Threatened","Fishes"
"Plethodon shenandoah","Shenandoah salamander","Wherever found","5","Endangered","Amphibians"
"Lampsilis virescens","Alabama lampmussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Rhinichthys osculus oligoporus","Clover Valley speckled dace","Wherever found","8","Endangered","Fishes"
"Uma inornata","Coachella Valley fringe-toed lizard","Wherever found","8","Threatened","Reptiles"
"Faxonius quadruncus","St. Francis River Crayfish","","3","Threatened","Crustaceans"
"Neonympha mitchellii francisci","Saint Francis' satyr butterfly","Wherever found","4","Endangered","Insects"
"Hamiota australis","Southern Sandshell","Wherever found","4","Threatened","Clams"
"Obovaria choctawensis","Choctaw bean","Wherever found","4","Endangered","Clams"
"Noturus stanauli","Pygmy madtom","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(t)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Noturus flavipinnis","Yellowfin madtom","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(e)(1)(iii))","4","Experimental Population, Non-Essential","Fishes"
"Newcombia cumingi","Newcomb's Tree snail","Wherever found","1","Endangered","Snails"
"Tympanuchus pallidicinctus","Lesser prairie-chicken","Southern DPS","2","Endangered","Birds"
"Gambelia silus","Blunt-nosed leopard lizard","Wherever found","8","Endangered","Reptiles"
"Pleurobema georgianum","Southern pigtoe","Wherever found","4","Endangered","Clams"
"Vireo bellii pusillus","Least Bell's vireo","Wherever found","8","Endangered","Birds"
"Rana boylii","Foothill yellow-legged frog","North Feather Distinct Population Segment (North Feather DPS)","8","Threatened","Amphibians"
"Theliderma intermedia","Cumberland monkeyface (pearlymussel)","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Thamnophis eques megalops","Northern Mexican gartersnake","Wherever found","2","Threatened","Reptiles"
"Texella reyesi","Bone Cave harvestman","Wherever found","2","Endangered","Arachnids"
"Spelaeorchestia koloana","Kauai cave amphipod","Wherever found","1","Endangered","Crustaceans"
"Salvelinus confluentus","Bull Trout","U.S.A., coterminous, lower 48 states","1","Threatened","Fishes"
"Euphydryas editha quino (=E. e. wrighti)","Quino checkerspot butterfly","Wherever found","8","Endangered","Insects"
"Triodopsis platysayoides","Flat-spired three-toothed Snail","Wherever found","5","Threatened","Snails"
"Chelonia mydas","Green sea turtle","Central North Pacific DPS","1","Threatened","Reptiles"
"Ambystoma macrodactylum croceum","Santa Cruz long-toed salamander","Wherever found","8","Endangered","Amphibians"
"Tamiasciurus fremonti grahamensis","Mount Graham red squirrel","Wherever found","2","Endangered","Mammals"
"Plethodon neomexicanus","Jemez Mountains salamander","Wherever found","2","Endangered","Amphibians"
"Gallirallus owstoni","Guam rail","Rota","1","Experimental Population, Non-Essential","Birds"
"Epioblasma rangiana","Northern riffleshell","Wherever found","5","Endangered","Clams"
"Megalagrion leptodemas","Crimson Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Etheostoma trisella","Trispot darter","Wherever found","4","Threatened","Fishes"
"Hydrobates castro","Band-rumped Storm-petrel","USA (HI)","1","Endangered","Birds"
"Margaritifera hembeli","Louisiana pearlshell","Wherever found","4","Threatened","Clams"
"Partula langfordi","Langford's tree snail","Wherever found","1","Endangered","Snails"
"Alligator mississippiensis","American alligator","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Pleurobema strodeanum","Fuzzy pigtoe","Wherever found","4","Threatened","Clams"
"Fusconaia iheringi","Balcones spike","","2","Endangered","Clams"
"Brychius hungerfordi","Hungerford's crawling water Beetle","Wherever found","3","Endangered","Insects"
"Acrocephalus familiaris kingi","Nihoa millerbird (old world warbler)","Wherever found","1","Endangered","Birds"
"Oreomystis bairdi","Akikiki","Wherever found","1","Endangered","Birds"
"Fundulus julisia","Barrens topminnow","Wherever found","4","Endangered","Fishes"
"Eurycea waterlooensis","Austin blind Salamander","Wherever found","2","Endangered","Amphibians"
"Lycaeides melissa samuelis","Karner blue butterfly","Wherever found","3","Endangered","Insects"
"Chelonia mydas","Green sea turtle","Central West Pacific DPS","1","Endangered","Reptiles"
"Agelaius xanthomus","Yellow-shouldered blackbird","Wherever found","4","Endangered","Birds"
"Neotoma fuscipes riparia","Riparian woodrat (=San Joaquin Valley)","Wherever found","8","Endangered","Mammals"
"Plethobasus cyphyus","Sheepnose Mussel","Wherever found","3","Endangered","Clams"
"Rana chiricahuensis","Chiricahua leopard frog","Wherever found","2","Threatened","Amphibians"
"Hypomesus transpacificus","Delta smelt","Wherever found","8","Threatened","Fishes"
"Noturus munitus","Frecklebelly madtom","Upper Coosa River DPS","4","Threatened","Fishes"
"Erimonax monachus","Spotfin Chub","U.S.A. (TN-specified portions of the French Broad and Holston Rivers; see 17.84(m)(1)(iii))","4","Experimental Population, Non-Essential","Fishes"
"Eurycea tonkawae","Jollyville Plateau Salamander","Wherever found","2","Threatened","Amphibians"
"Anas wyvilliana","Hawaiian duck","Wherever found","1","Endangered","Birds"
"Dipodomys merriami parvus","San Bernardino Merriam's kangaroo rat","Wherever found","8","Endangered","Mammals"
"Odocoileus virginianus leucurus","Columbian white-tailed deer","Columbia River DPS","1","Threatened","Mammals"
"Emballonura semicaudata semicaudata","Pacific sheath-tailed Bat","American Samoa","1","Endangered","Mammals"
"Hylaeus mana","Hawaiian yellow-faced bee","Wherever found","1","Endangered","Insects"
"Reginaia rotulata","Round Ebonyshell","Wherever found","4","Endangered","Clams"
"Antrobia culveri","Tumbling Creek cavesnail","Wherever found","3","Endangered","Snails"
"Cyclonaias petrina","Texas pimpleback","Wherever found","2","Endangered","Clams"
"Leptoxis foremani","Interrupted (=Georgia) Rocksnail","Wherever found","4","Endangered","Snails"
"Peromyscus polionotus trissyllepsis","Perdido Key beach mouse","Wherever found","4","Endangered","Mammals"
"Pteropus mariannus mariannus","Mariana fruit Bat (=Mariana flying fox)","Wherever found","1","Threatened","Mammals"
"Branchinecta longiantenna","Longhorn fairy shrimp","Wherever found","8","Endangered","Crustaceans"
"Panthera onca","Jaguar","Wherever found","2","Endangered","Mammals"
"Drosophila mulli","Hawaiian picture-wing fly","Wherever found","1","Threatened","Insects"
"Mustela nigripes","Black-footed ferret","U.S.A. (WY and specified portions of AZ, CO, MT, SD, and UT, see 17.84(g)(9))","6","Experimental Population, Non-Essential","Mammals"
"Faxonius peruncus","Big Creek Crayfish","","3","Threatened","Crustaceans"
"Glaucomys sabrinus coloratus","Carolina northern flying squirrel","Wherever found","4","Endangered","Mammals"
"Manduca blackburni","Blackburn's sphinx moth","Wherever found","1","Endangered","Insects"
"Tryonia circumstriata (=stocktonensis)","Gonzales tryonia","Wherever found","2","Endangered","Snails"
"Branchinecta conservatio","Conservancy fairy shrimp","Wherever found","8","Endangered","Crustaceans"
"Empidonax traillii extimus","Southwestern willow flycatcher","Wherever found","2","Endangered","Birds"
"Gasterosteus aculeatus williamsoni","Unarmored threespine stickleback","Wherever found","8","Endangered","Fishes"
"Strix occidentalis lucida","Mexican spotted owl","Wherever found","2","Threatened","Birds"
"Canis rufus","Red wolf","Wherever found, except where listed as an experimental population","4","Endangered","Mammals"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","U.S.A (AZ, NM)","2","Experimental Population, Non-Essential","Birds"
"Necturus lewisi","Neuse River waterdog","Wherever found","4","Threatened","Amphibians"
"Canis lupus","Gray wolf","U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.","6","Endangered","Mammals"
"Oryzomys palustris natator","Silver rice rat","lower FL Keys","4","Endangered","Mammals"
"Pleurobema perovatum","Ovate clubshell","Wherever found","4","Endangered","Clams"
"Percina pantherina","Leopard darter","Wherever found","2","Threatened","Fishes"
"Antrostomus noctitherus","Puerto Rican nightjar","Wherever found","4","Endangered","Birds"
"Cyclargus ammon","Nickerbean Blue Butterfly","Wherever found","4","Similarity of Appearance (Threatened)","Insects"
"Ursus maritimus","Polar bear","Wherever found","7","Threatened","Mammals"
"Ursus arctos horribilis","Grizzly bear","U.S.A., conterminous (lower 48) States, except where listed as an experimental population","6","Threatened","Mammals"
"Drosophila substenoptera","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Microtus californicus scirpensis","Amargosa vole","Wherever found","8","Endangered","Mammals"
"Icaricia icarioides missionensis","Mission blue butterfly","Wherever found","8","Endangered","Insects"
"Chelonia mydas","Green sea turtle","East Pacific DPS","8","Threatened","Reptiles"
"Eumops floridanus","Florida bonneted bat","Wherever found","4","Endangered","Mammals"
"Quadrula fragosa","Winged Mapleleaf","Wherever found, except where listed as an experimental population","3","Endangered","Clams"
"Notropis simus pecosensis","Pecos bluntnose shiner","Wherever found","2","Threatened","Fishes"
"Megapodius laperouse","Micronesian megapode","Wherever found","1","Endangered","Birds"
"Dipodomys stephensi (incl. D. cascus)","Stephens' kangaroo rat","Wherever found","8","Threatened","Mammals"
"Planorbella magnifica","Magnificent ramshorn","Wherever found","4","Endangered","Snails"
"Heterelmis comalensis","Comal Springs riffle beetle","Wherever found","2","Endangered","Insects"
"Texella cokendolpheri","Cokendolpher Cave Harvestman","Wherever found","2","Endangered","Arachnids"
"Cyprinella caerulea","Blue shiner","Wherever found","4","Threatened","Fishes"
"Lemiox rimosus","Birdwing pearlymussel","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Villosa fabalis","Rayed Bean","Wherever found","3","Endangered","Clams"
"Drosophila obatai","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Rostrhamus sociabilis plumbeus","Everglade snail kite","Wherever found","4","Endangered","Birds"
"Thermosphaeroma thermophilus","Socorro isopod","Wherever found","2","Endangered","Crustaceans"
"Strix occidentalis caurina","Northern spotted owl","Wherever found","1","Threatened","Birds"
"Rallus obsoletus levipes","Light-footed Ridgway''s rail","Wherever found","8","Endangered","Birds"